구분1,일반,어린이,청소년,기타
서울,"2,892,763","13,707","83,272","306,229"
부산,"556,256","2,989","14,710","181,898"
대구,"273,200","1,137","11,109","0"
인천,"483,291","2,522","19,337","42,295"
광주,"127,234","1,361","8,263","3,064"
대전,"153,862","598","8,227","6,653"
울산,"87,965","288","4,091","262"
세종,"19,244","119","929","27"
경기,"1,945,415","9,220","80,026","124,436"
강원,"51,078","259","2,759","1,135"
충북,"64,158","279","3,409","1,577"
충남,"77,079","550","6,609","25,065"
전북,"75,860","445","4,208","766"
전남,"67,430","1,049","5,200","13,080"
경북,"84,184","309","4,021","0"
경남,"192,583","1,122","10,614","16,631"
제주,"38,740","852","4,525","13,434"
