구분1,구분2,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
운영서비스,노선체계적절성,5.01,4.91,4.8,4.75,4.76,4.82,4.71,4.57,4.71,4.58,4.51,4.59,4.6,4.79,4.55,4.79,4.77
운영서비스,배차간격적절성,4.65,4.55,4.45,4.32,4.34,4.47,4.25,4.06,4.26,4.63,4.12,4.12,4.25,4.52,4.15,4.43,4.39
운영서비스,이용요금합리성,4.81,4.7,4.67,4.54,4.61,4.69,4.52,4.48,4.53,4.47,4.45,4.48,4.46,4.64,4.47,4.61,4.58
운영서비스,대중교통운영체계구축,4.77,4.68,4.67,4.61,4.53,4.64,4.42,4.36,4.51,4.48,4.36,4.37,4.4,4.67,4.41,4.58,4.58
이용환경서비스,기사-역무원친절도,4.49,4.43,4.4,4.36,4.48,4.59,4.44,4.58,4.3,4.76,4.38,4.45,4.42,4.48,4.34,4.49,4.53
이용환경서비스,내부시설이용편리성,4.48,4.46,4.42,4.39,4.49,4.63,4.38,4.43,4.35,4.56,4.41,4.4,4.37,4.41,4.3,4.46,4.41
이용환경서비스,교통약자시설,4.55,4.52,4.49,4.47,4.49,4.54,4.42,4.39,4.41,4.55,4.41,4.5,4.41,4.44,4.42,4.53,4.49
쾌적환경서비스,차량내부혼잡도,3.64,3.83,3.94,3.76,3.98,4.02,4.05,4.21,3.57,4.44,4.1,4.11,4.14,4.26,4.09,4.13,4.24
쾌적환경서비스,이용시설청결성,4.48,4.37,4.42,4.35,4.34,4.45,4.17,4.34,4.18,4.33,4.25,4.3,4.25,4.37,4.28,4.32,4.38
안전환경서비스,(버스)급출발-급제동-차로변경-안전거리확보,4.43,4.23,4.33,4.13,4.43,4.51,4.34,4.59,4.26,4.51,4.45,4.51,4.46,4.61,4.41,4.43,4.54
안전환경서비스,(버스)비상시대처방안안내,4.04,4.23,4.26,4.09,4.27,4.5,4.35,4.57,3.96,4.52,4.42,4.45,4.41,4.53,4.43,4.44,4.54
안전환경서비스,(지하철)급출발-급정거-정확한위치정차,4.7,4.78,4.71,4.76,4.87,4.66,,,4.66,4.49,,4.94,,,4.9,4.72,
안전환경서비스,(지하철)비상시대처방안안내,4.53,4.55,4.63,4.53,4.52,4.71,,,4.47,4.66,,4.45,,,4.44,4.52,
정보제공서비스,대중교통정보제공시스템구축,4.94,4.9,4.9,4.91,4.81,4.86,4.82,4.83,4.81,4.75,4.7,4.83,4.74,4.77,4.75,4.77,4.77
정보제공서비스,대중교통제공정보정확성,4.86,4.88,4.84,4.81,4.75,4.79,4.69,4.77,4.76,4.73,4.67,4.79,4.72,4.75,4.76,4.77,4.85
정보제공서비스,대중교통변경정보제공,4.79,4.78,4.77,4.78,4.66,4.74,4.69,4.73,4.66,4.64,4.59,4.7,4.63,4.63,4.62,4.65,4.76
환승서비스,환승노선(체계)구축,4.79,4.8,4.72,4.74,4.65,4.74,4.66,4.6,4.66,4.65,4.65,4.72,4.64,4.71,4.67,4.74,4.68
환승서비스,환승정보제공적절성,4.79,4.72,4.73,4.7,4.63,4.67,4.58,4.58,4.61,4.5,4.54,4.57,4.47,4.69,4.61,4.7,4.65
환승서비스,환승요금적절성,4.86,4.88,4.99,4.82,4.78,4.98,4.84,4.88,4.77,4.84,4.88,4.87,4.82,4.95,4.91,4.89,4.92
