구분1,평일,토요일,일요일
서울,"6,950,243","4,847,295","3,480,032"
부산,"1,467,461","1,180,923","830,905"
대구,"507,732","416,582","291,757"
인천,"900,123","694,140","508,841"
광주,"231,125","179,584","128,051"
대전,"286,242","220,388","163,745"
울산,"162,832","127,110","87,697"
세종,"31,193","21,483","15,660"
경기,"3,450,643","2,639,148","1,909,329"
강원,"84,456","68,245","50,614"
충북,"111,228","92,888","66,463"
충남,"177,941","146,253","108,615"
전북,"131,084","96,553","67,098"
전남,"135,277","112,110","76,698"
경북,"139,419","112,421","78,337"
경남,"369,531","291,841","201,440"
제주,"102,620","81,087","66,603"
