2018년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"26,990,456","51,606,633","110,714","217,148","3,781","323,037","1,228,129","3,781","1,935,008"
서울,"3,615,481","9,704,546","8,272","38,795",304,"53,751","217,598",304,"318,192"
부산,"1,525,223","3,400,027","3,372","11,937",123,"16,468","71,028",123,"107,287"
경기,"6,202,166","13,031,356","14,014","53,448",678,"81,174","307,909",678,"491,214"
강원,"924,060","1,520,816","9,953","7,498",197,"11,922","36,330",197,"63,242"
충북,"1,005,496","1,618,877","6,943","9,618",224,"15,687","35,081",224,"59,626"
충남,"1,404,653","2,179,663","7,160","8,807",354,"13,283","51,784",354,"88,928"
전북,"1,158,222","1,820,168","8,504","6,929",246,"10,452","43,304",246,"70,737"
전남,"1,351,559","1,790,233","10,630","9,787",330,"15,680","38,075",330,"62,514"
경북,"1,878,270","2,674,333","13,324","13,966",409,"20,919","61,017",409,"96,775"
경남,"2,043,312","3,355,874","12,650","11,493",333,"16,454","67,995",333,"106,971"
제주,"613,777","652,693","3,211","4,239",82,"6,611","16,563",82,"27,411"
대구,"1,331,528","2,449,789","2,867","13,199",120,"19,332","66,549",120,"100,837"
인천,"1,685,441","2,938,875","3,272","7,632",113,"10,976","66,614",113,"103,792"
광주,"722,186","1,493,417","1,859","7,459",76,"11,977","42,417",76,"68,650"
대전,"717,916","1,517,902","2,140","7,554",93,"11,432","40,698",93,"64,612"
울산,"643,461","1,154,482","2,142","3,992",79,"5,777","26,919",79,"40,582"
세종,"167,705","303,582",402,795,20,"1,142","4,626",20,"7,418"
