번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9654,9154,7077,14385,17291,5538,14154,7462,2731
2,광주,7900,8700,7100,12400,12956,5500,14600,7200,2600
3,대구,8833,9050,6667,9833,13436,5167,14167,6250,2333
4,대전,8300,8700,6500,12800,16133,5500,13000,6000,2400
5,부산,9429,7557,6714,9786,13949,5143,14143,6071,2357
6,울산,8100,8100,6900,8600,14338,5700,13200,7400,2600
7,인천,8833,7817,6667,13483,15459,5417,14167,6917,2500
8,강원,8222,7944,7167,13000,13000,5278,13444,7500,2389
9,경기,8769,7708,6808,13942,15025,5750,14423,7404,2681
10,경남,8900,7400,7250,9590,14938,4900,14400,6500,2760
11,경북,8346,7569,7115,8923,13915,5269,13077,6769,2423
12,전남,7556,7778,6556,12889,15593,5944,14333,7222,2167
13,전북,8200,9300,7350,13050,14223,5300,14200,7300,2350
14,충남,8300,8200,7200,13600,14794,5350,13700,6900,2420
15,충북,7571,7600,7143,12429,12263,5286,12429,6500,2286
16,제주,8000,8250,7875,15000,15417,5875,12250,8000,2625
